@relation fences

@attribute grasshealth numeric
@attribute wolfdistance numeric
@attribute sheepdistance numeric
@attribute sheepposition {inside, outside, middle}
@attribute bossposition {inside, outside}
@attribute updown {up, down}

@data
1,52.89297,16.73611,outside,outside,up
0.8174886,17.09286,22.53068,outside,outside,up
0.5845496,27.74266,8.522286,inside,outside,up
0.3375528,20.54709,14.42936,outside,outside,up
0.4596611,31.53362,29.38135,outside,outside,up
0.3837795,44.50222,8.734453,inside,outside,up
0.3040504,23.72551,4.850141,inside,outside,up
0.4596611,31.53362,29.38135,outside,outside,up
0.2258534,39.48839,1.21327,inside,outside,up
0.3728337,47.47297,19.25393,outside,outside,up
0.4042863,16.55226,4.788824,inside,outside,up
1,27.17559,12.74311,outside,outside,up
0.3582023,24.62021,17.3693,outside,outside,up
0.5164195,31.75806,13.31215,outside,outside,up
1,53.57869,6.986195,outside,outside,up
0.3304127,54.0773,17.17849,outside,outside,up
1,19.22125,12.56037,outside,outside,up
1,47.0664,11.38647,outside,outside,up
0.354145,30.31699,17.21397,outside,outside,up
0.9138493,53.91797,6.201855,inside,outside,up
0.6168517,13.54974,1.65231,inside,outside,up
0.6282899,15.84039,5.259828,inside,outside,up
0.9760373,44.50724,16.26719,outside,outside,up
0.4392531,20.41219,7.430093,outside,outside,up
0.9138493,53.91797,6.201855,inside,outside,up
0.2240729,26.66184,3.55137,inside,outside,up
0.6699123,37.25459,24.17273,outside,outside,up
1,29.39768,16.59753,outside,outside,up
0.3254173,48.28672,22.99504,outside,outside,up
0.501599,37.97969,2.297802,inside,outside,up
0.2872993,38.15625,4.221289,inside,outside,up
1,15.78784,10.67504,outside,outside,up
0.4122521,14.52036,5.776703,inside,outside,up
0.7997148,15.75556,8.495366,inside,outside,up
0.5736615,39.98652,12.23786,outside,outside,up
0.718752,14.03799,0.594057,middle,outside,up
1,31.22577,16.96501,outside,outside,up
0,36.40981,6.915923,inside,outside,up
0.6371459,30.85486,10.58548,outside,outside,up
0.8838693,28.36328,8.979308,inside,outside,up
0.2641347,45.93653,13.53998,outside,outside,up
0.9328894,35.1661,1.903542,outside,outside,up
0,26.20446,6.111132,inside,outside,up
0.3245696,20.27776,6.175124,inside,outside,up
0.4254546,16.72234,3.667147,inside,outside,up
0.3813866,13.28971,4.846267,inside,outside,up
0.7833298,35.01125,6.636661,inside,outside,up
0.8991812,18.26485,4.064016,inside,outside,up
0.2589386,38.94741,21.33093,outside,outside,up
0.9181086,22.95645,20.80778,outside,outside,up
0.3728337,46.62748,20.38719,outside,outside,up
0.7373823,32.03022,9.593122,outside,outside,up
1,41.19982,12.50548,outside,outside,up
0.8298454,19.27352,3.352868,inside,outside,up
0.1252395,48.4908,1.965949,inside,outside,up
1,26.82661,15.60794,outside,outside,up
1,29.39768,16.59753,outside,outside,up
0.094024,10.96147,8.059831,inside,outside,up
1,34.36157,14.7739,outside,outside,up
0.203572,32.0965,5.298575,inside,outside,up
0.1872556,41.40688,8.088774,inside,outside,up
0.9617922,29.66487,13.64374,outside,outside,up
1,27.17559,12.74311,outside,outside,up
0.7287247,22.39543,4.78542,inside,outside,up
0.7563228,4.278497,15.24232,outside,outside,up
0.3384337,28.31,7.997182,outside,outside,up
0.3177123,31.49437,4.074746,middle,outside,up
1,52.89297,16.73611,outside,outside,up
0.4362535,36.01396,8.884359,outside,outside,up
0.6890474,21.72701,5.819105,inside,outside,up
0.5845496,26.67481,5.402691,inside,outside,up
0.3813866,13.28971,4.846267,inside,outside,up
0.673946,43.79248,11.58924,outside,outside,up
0.2829571,49.36485,4.635213,inside,outside,up
0.171755,46.60369,2.245158,inside,outside,up
0.1872556,49.28715,1.855963,inside,outside,up
1,27.5465,14.26103,outside,outside,up
0.4397101,10.36122,8.310582,inside,outside,up
1,41.59418,7.812271,outside,outside,up
0.4688591,41.21858,22.53319,outside,outside,up
0.7373823,37.23423,14.9691,outside,outside,up
0.1588577,41.60929,19.36411,outside,outside,up
0.4113706,20.2265,2.342106,inside,outside,up
0.3590755,30.7001,23.89218,outside,outside,up
0.4817622,13.67427,1.935385,inside,outside,up
0.3642349,52.76081,13.14696,outside,outside,up
0.2808994,11.65242,5.088586,inside,outside,up
0.300861,24.84971,4.54072,inside,outside,up
0.6168517,13.54974,1.65231,inside,outside,up
0.4392531,20.82144,2.271047,outside,outside,up
0.4948383,38.314,4.224275,inside,outside,up
0.5959603,35.44017,6.505296,inside,outside,up
0.4155716,33.1205,21.07755,outside,outside,up
0.8370137,37.87981,10.01444,outside,outside,up
0.583454,19.3411,3.789446,inside,outside,up
0.3642349,41.14748,23.60748,outside,outside,up
0.8864685,22.91438,10.11262,inside,outside,up
0.6069463,59.02172,20.43241,outside,outside,up
0.4725132,25.93163,1.28445,inside,outside,up
0.8611301,19.78907,23.31176,outside,outside,up
1,52.89297,16.73611,outside,outside,up
0.1588577,41.60929,19.36411,outside,outside,up
0.7869728,8.437983,4.938537,inside,outside,up
0.253594,33.80814,13.79697,outside,outside,up
0.6159661,14.86001,21.5902,outside,outside,up
0.6282899,9.788226,8.080597,inside,outside,up
0.5854313,19.7297,6.178197,inside,outside,up
0.7833298,26.65291,7.306519,inside,outside,up
0.925483,37.4015,7.712962,inside,outside,up
0.8937962,29.9398,28.14165,outside,outside,up
0.7745238,43.79709,11.0608,outside,outside,up
1,15.78784,10.67504,outside,outside,up
0.9138493,62.98454,5.089011,inside,outside,up
0.4688591,52.28891,12.03449,outside,outside,up
0.2138995,41.08512,8.649181,outside,outside,up
0.7259976,32.22345,4.222176,inside,outside,up
0.1260994,41.61758,4.554939,inside,outside,up
0.5727925,36.96193,12.20887,outside,outside,up
0,42.7127,2.490807,inside,outside,up
0.68538,20.47554,8.993215,inside,outside,up
0.538844,6.029678,14.98917,outside,outside,up
0.5924316,48.77156,7.806824,outside,outside,up
0.3719709,39.17231,10.80433,outside,outside,up
0.7833298,26.65291,7.306519,inside,outside,up
0.1375536,16.47641,13.04481,outside,outside,up
0.5825756,8.669955,5.827085,inside,outside,up
0.3813866,13.28971,4.846267,inside,outside,up
0.9760373,48.79959,8.311,outside,outside,up
0.2907972,43.57359,12.29853,outside,outside,up
0.34024,10.20617,9.653479,inside,outside,up
1,31.03611,9.631819,outside,outside,up
0.3590755,36.57802,29.35662,outside,outside,up
0.7931129,31.51644,23.89722,outside,outside,up
0.4839764,35.87554,8.648296,inside,outside,up
0.5354902,25.13124,10.50164,outside,outside,up
0.34024,10.20617,9.653479,inside,outside,up
1,48.08532,14.16103,outside,outside,up
0,35.14467,3.558171,inside,outside,up
0.5397099,13.05606,11.17353,outside,outside,up
0.8413681,32.31779,8.307793,inside,outside,up
0.2808994,19.94675,8.647676,inside,outside,up
0.7411004,23.42507,8.739005,inside,outside,up
